Date,HOUR_BIN,passenger_count
2018-04-23,20,5398.0
2018-04-24,0,1479.0
2018-04-24,4,2453.0
2018-04-24,8,7059.0
2018-04-24,12,6905.0
2018-04-24,16,9125.0
2018-04-24,20,6340.0
2018-04-25,0,1610.0
2018-04-25,4,2399.0
2018-04-25,8,7197.0
2018-04-25,12,7162.0
2018-04-25,16,9421.0
2018-04-25,20,6140.0
2018-04-26,0,1873.0
2018-04-26,4,2377.0
2018-04-26,8,7383.0
2018-04-26,12,7197.0
2018-04-26,16,9626.0
2018-04-26,20,7338.0
2018-04-27,0,2725.0
2018-04-27,4,2487.0
2018-04-27,8,7959.0
2018-04-27,12,6847.0
2018-04-27,16,10634.0
2018-04-27,20,8846.0
2018-04-28,0,5326.0
2018-04-28,4,2094.0
2018-04-28,8,5711.0
2018-04-28,12,8121.0
2018-04-28,16,10175.0
2018-04-28,20,10268.0
2018-04-29,0,6446.0
2018-04-29,4,2084.0
2018-04-29,8,4793.0
2018-04-29,12,7371.0
2018-04-29,16,8279.0
2018-04-29,20,5817.0
2018-04-30,0,1767.0
2018-04-30,4,2549.0
2018-04-30,8,7504.0
2018-04-30,12,7158.0
2018-04-30,16,9450.0
2018-04-30,20,4869.0
2018-05-01,0,1316.0
2018-05-01,4,2466.0
2018-05-01,8,7428.0
2018-05-01,12,7045.0
2018-05-01,16,8942.0
2018-05-01,20,6262.0
2018-05-02,0,1531.0
2018-05-02,4,2241.0
2018-05-02,8,7212.0
2018-05-02,12,6961.0
2018-05-02,16,9225.0
2018-05-02,20,6563.0
2018-05-03,0,1948.0
2018-05-03,4,2595.0
2018-05-03,8,7608.0
2018-05-03,12,7672.0
2018-05-03,16,10439.0
2018-05-03,20,7296.0
2018-05-04,0,2342.0
2018-05-04,4,2502.0
2018-05-04,8,7616.0
2018-05-04,12,7151.0
2018-05-04,16,10704.0
2018-05-04,20,9428.0
2018-05-05,0,5524.0
2018-05-05,4,2257.0
2018-05-05,8,5973.0
2018-05-05,12,8342.0
2018-05-05,16,10322.0
2018-05-05,20,9760.0
2018-05-06,0,6541.0
2018-05-06,4,2285.0
2018-05-06,8,4311.0
2018-05-06,12,6657.0
2018-05-06,16,7661.0
2018-05-06,20,4979.0
2018-05-07,0,1363.0
2018-05-07,4,2386.0
2018-05-07,8,7193.0
2018-05-07,12,6595.0
2018-05-07,16,8452.0
2018-05-07,20,5394.0
2018-05-08,0,1544.0
2018-05-08,4,2514.0
2018-05-08,8,7161.0
2018-05-08,12,7035.0
2018-05-08,16,8619.0
2018-05-08,20,6259.0
2018-05-09,0,1599.0
2018-05-09,4,2403.0
2018-05-09,8,7273.0
2018-05-09,12,6872.0
2018-05-09,16,9357.0
2018-05-09,20,6914.0
2018-05-10,0,2023.0
2018-05-10,4,2546.0
2018-05-10,8,7288.0
2018-05-10,12,7496.0
2018-05-10,16,9448.0
2018-05-10,20,7784.0
2018-05-11,0,2541.0
2018-05-11,4,2410.0
2018-05-11,8,7221.0
2018-05-11,12,6857.0
2018-05-11,16,10274.0
2018-05-11,20,9423.0
2018-05-12,0,5826.0
2018-05-12,4,2297.0
2018-05-12,8,5985.0
2018-05-12,12,7896.0
2018-05-12,16,9938.0
2018-05-12,20,8563.0
2018-05-13,0,5404.0
2018-05-13,4,1965.0
2018-05-13,8,5148.0
2018-05-13,12,8129.0
2018-05-13,16,8376.0
2018-05-13,20,6139.0
2018-05-14,0,1533.0
2018-05-14,4,2525.0
2018-05-14,8,7181.0
2018-05-14,12,6482.0
2018-05-14,16,8273.0
2018-05-14,20,5577.0
2018-05-15,0,1283.0
2018-05-15,4,2431.0
2018-05-15,8,7301.0
2018-05-15,12,7236.0
2018-05-15,16,9701.0
2018-05-15,20,5796.0
2018-05-16,0,1711.0
2018-05-16,4,2452.0
2018-05-16,8,7770.0
2018-05-16,12,7812.0
2018-05-16,16,10137.0
2018-05-16,20,5855.0
2018-05-17,0,1522.0
2018-05-17,4,2455.0
2018-05-17,8,7480.0
2018-05-17,12,7841.0
2018-05-17,16,9742.0
2018-05-17,20,5661.0
2018-05-18,0,2286.0
2018-05-18,4,2602.0
2018-05-18,8,7425.0
2018-05-18,12,7285.0
2018-05-18,16,10456.0
2018-05-18,20,7583.0
2018-05-19,0,5064.0
2018-05-19,4,2016.0
2018-05-19,8,6099.0
2018-05-19,12,8977.0
2018-05-19,16,9155.0
2018-05-19,20,6571.0
2018-05-20,0,4800.0
2018-05-20,4,1618.0
2018-05-20,8,4963.0
2018-05-20,12,7941.0
2018-05-20,16,8052.0
2018-05-20,20,4418.0
2018-05-21,0,1718.0
2018-05-21,4,2357.0
2018-05-21,8,7031.0
2018-05-21,12,6874.0
2018-05-21,16,8365.0
2018-05-21,20,4715.0
2018-05-22,0,1524.0
2018-05-22,4,2468.0
2018-05-22,8,7742.0
2018-05-22,12,7842.0
2018-05-22,16,9275.0
2018-05-22,20,4707.0
2018-05-23,0,1371.0
2018-05-23,4,2320.0
2018-05-23,8,7241.0
2018-05-23,12,7517.0
2018-05-23,16,9054.0
2018-05-23,20,5554.0
2018-05-24,0,1856.0
2018-05-24,4,2441.0
2018-05-24,8,7564.0
2018-05-24,12,7663.0
2018-05-24,16,9519.0
2018-05-24,20,5950.0
2018-05-25,0,2601.0
2018-05-25,4,2439.0
2018-05-25,8,6938.0
2018-05-25,12,7571.0
2018-05-25,16,9803.0
2018-05-25,20,6693.0
2018-05-26,0,4635.0
2018-05-26,4,1958.0
2018-05-26,8,5477.0
2018-05-26,12,8377.0
2018-05-26,16,8535.0
2018-05-26,20,6394.0
2018-05-27,0,4732.0
2018-05-27,4,1913.0
2018-05-27,8,3962.0
2018-05-27,12,6324.0
2018-05-27,16,6587.0
2018-05-27,20,4220.0
2018-05-28,0,2345.0
2018-05-28,4,1172.0
2018-05-28,8,3294.0
2018-05-28,12,5769.0
2018-05-28,16,7183.0
